Player	Active
Abdi, Farhiya	NO
Abraham, Tajama	NO
Abrosimova, Svetlana	NO
Achonwa, Natalie	YES
Adair, Jessica	NO
Adams, Danielle	NO
Adams, Jordan	NO
Aguilar, Elisa	NO
Ajavon, Matee	NO
Akhator, Evelyn	NO
Alberts, Marcie	NO
Aldridge, Markita	NO
Alexander, Erin	NO
Alexander, Kayla	YES
Alhaleem, Towana	NO
Allemand, Julie	YES
Allen, Charel	NO
Allen, Lindsay	YES
Allen, Rebecca	YES
Alleyne, Jillian	YES
Alston, Ameryst	NO
Amachree, Mactabene	NO
Ambers, Monique	NO
Anderson, Ambrosia	NO
Anderson, Chantelle	NO
Anderson, Jolene	NO
Anderson, Keisha	NO
Andrade, Mery	NO
Angel, Yvette	NO
Anigwe, Kristine	YES
Anosike, Nicky	NO
Appel Marinelli, Jayne	NO
Arcain, Janeth	NO
Armstrong, Anne Marie	NO
Artis, Katasha	NO
Askamp, Marlies	NO
Atkins, Ariel	YES
Atkinson, La'Tangela	NO
Atunrase, Morenike	NO
Augustus, Seimone	YES
Ayayi, Valeriane	YES
Aycock, Angela	NO
Ayim, Miranda	NO
Aziz, Leigh	NO
Azzi, Jennifer	NO
Babkina, Elina	YES
Bader Binford, Tricia	NO
Baker, Sherill	NO
Bales, Alison	NO
Banchero, Rhonda	NO
Banham, Rachel	YES
Baranova, Elena	NO
Barnes, Adia	NO
Barnes, Quacy	NO
Bass, Mistie	NO
Batkovic-Brown, Suzy	NO
Batteast, Jacqueline	NO
Battle, Ashley	NO
Bauer-Bilodeau, Cass	NO
Baugh, Vicki	NO
Beard, Alana	YES
Becenti, Ryneldi	NO
Beck, Kimberly	NO
Bell, Kenisha	YES
Belyakova, Evgeniia	NO
Ben Abdelkader, Hind	NO
Benningfield, Jenni	NO
Bentley, Alex	YES
Berezhynska, Val	NO
Berkani, Lisa	YES
Berthieu, Lucienne	NO
Bertsch, Morgan	YES
Bevilaqua, Tully	NO
Bias, Tiffany	YES
Bibby, Jessica	NO
Bibrzycka, Agnieszka	NO
Billings, Monique	YES
Bird, Sue	YES
Bishop, Abby	NO
Bjedov, Nina	NO
Bjorklund, Angie	NO
Bjorklund, Tera	NO
Black, Chante	NO
Black, Debbie	NO
Blades, Rhonda	NO
Blodgett, Cindy	NO
Blue, Nikki	NO
Blue, Octavia	NO
Bobbitt, Shannon	NO
Boddie, Whitney	NO
Bolton, Ruthie	NO
Bond, LaToya	NO
Bone, Kelsey	NO
Bonfiglio, Susanna	NO
Bonner, DeWanna	YES
